Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,Burkina Faso,0.002053438698449294,"12,294,012",2000,"[('Afghanistan', 34.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Burundi,0.0025602622511764735,"6,374,347",2000,"[('Afghanistan', 6.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Cambodia,0.010488273069970801,"12,446,949",2000,"[('Afghanistan', 1.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Cameroon,0.006587398136873401,"15,678,269",2000,"[('Afghanistan', 1.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Canada,0.2836231747465851,"30,769,700",2000,"[('Afghanistan', 69.0), ('Albania', 2.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Cape Verde,0.0451218787022171,"437,238",2000,"[('Afghanistan', 2.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Cayman Islands,0.2662022639631795,"40,195",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Central African Republic,0.0013418496344965848,"3,701,607",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Chad,0.0006689103948310497,"8,222,327",2000,"[('Afghanistan', 2.0), ('Albania', 0.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
NA,Channel Islands,0.0,"145,330",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Chile,0.2205943389741255,"15,419,820",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,China,0.06752491793021792,"1,262,645,000",2000,"[('Afghanistan', 23.0), ('Albania', 22.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Colombia,0.05675464185518187,"39,764,166",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Comoros,0.0,"562,469",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,"Congo, Dem. Rep.",0.0003022596934683695,"49,626,200",2000,"[('Afghanistan', 8.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
